,image_path,target
0,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_0.tif,0
1,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_1.tif,0
2,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_2.tif,0
3,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_3.tif,1
4,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_4.tif,0
5,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_5.tif,0
6,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_6.tif,0
7,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_7.tif,0
8,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_8.tif,0
9,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_9.tif,0
10,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_10.tif,0
11,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_11.tif,0
12,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_12.tif,1
13,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_13.tif,0
14,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_14.tif,1
15,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_15.tif,1
16,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_16.tif,0
17,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_17.tif,0
18,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_18.tif,0
19,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_19.tif,0
20,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_20.tif,1
21,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_21.tif,0
22,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_22.tif,0
23,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_23.tif,0
24,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_24.tif,0
25,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_25.tif,1
26,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_26.tif,0
27,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_27.tif,0
28,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_28.tif,0
29,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_29.tif,0
30,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_30.tif,0
31,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_31.tif,0
32,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_32.tif,0
33,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_33.tif,0
34,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_34.tif,1
35,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_35.tif,0
36,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_36.tif,0
37,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_37.tif,0
38,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_38.tif,1
39,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_39.tif,0
40,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_40.tif,0
41,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_41.tif,0
42,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_42.tif,0
43,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_43.tif,0
44,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_44.tif,1
45,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_45.tif,0
46,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_46.tif,0
47,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_47.tif,0
48,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_48.tif,1
49,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_49.tif,0
50,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_50.tif,0
51,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_51.tif,0
52,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_52.tif,0
53,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_53.tif,0
54,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_54.tif,0
55,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_55.tif,0
56,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_56.tif,1
57,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_57.tif,1
58,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_58.tif,0
59,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_59.tif,0
60,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_60.tif,0
61,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_61.tif,0
62,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_62.tif,0
63,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_63.tif,0
64,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_64.tif,1
65,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_65.tif,0
66,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_66.tif,0
67,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_67.tif,0
68,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_68.tif,0
69,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_69.tif,0
70,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_70.tif,1
71,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_71.tif,0
72,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_72.tif,1
73,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_73.tif,0
74,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_74.tif,1
75,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_75.tif,1
76,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_76.tif,0
77,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_77.tif,0
78,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_78.tif,0
79,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_79.tif,0
80,/home/sebastien/Documents/projects/solafune-finding-mining-sites/data/train/train_80.tif,1
